,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
443,TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",2019,96943,1943
444,TER,Teradyne,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",2020,97210,1960
445,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",2020,1318605,2003
446,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",1985,97476,1930
447,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978,217346,1923
448,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2004,97745,2006
449,TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985,109198,1987
450,TSCO,Tractor Supply,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",2014,916365,1938
451,TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",2010,1466258,1871
452,TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016,1260221,1993
453,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002,86312,1853
454,TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",2021,864749,1978
455,TFC,Truist,Financials,Regional Banks,"Charlotte, North Carolina",1997,92230,1872
456,TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",2020,860731,1966
457,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005,100493,1935
458,USB,U.S. Bank,Financials,Diversified Banks,"Minneapolis, Minnesota",1985,36104,1968
459,UDR,"UDR, Inc.",Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016,74208,1972
460,ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",2016,1403568,1990
461,UNP,Union Pacific Corporation,Industrials,Railroads,"Omaha, Nebraska",1957,100885,1862
462,UAL,United Airlines Holdings,Industrials,Airlines,"Chicago, Illinois",2015,100517,1967
463,UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",2002,1090727,1907
464,URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014,1067701,1997
